label,text,is_valid
account_blocked,why is there a hold on my american saving bank account,TRUE
account_blocked,i am nost sure why my account is blocked,TRUE
account_blocked,why is there a hold on my capital one checking account,TRUE
account_blocked,i think my account is blocked but i do not know the reason,TRUE
account_blocked,can you tell me why is my bank account frozen,TRUE
account_blocked,why is there a hold on my edward jones account,TRUE
account_blocked,why am i locked out of my bank account,TRUE
account_blocked,why in the world am i locked out of my bank account,TRUE
account_blocked,what is the reason for frozen status on my bank account,TRUE
account_blocked,check for why is my bank account frozen,TRUE
account_blocked,i don't know the reason my account is blocked,TRUE
account_blocked,find out for me why is my bank account frozen,TRUE
account_blocked,can you find out why is my bank account frozen,TRUE
account_blocked,why is there a hold on my discover account,TRUE
account_blocked,tell me why am i locked out of my bank account,TRUE
account_blocked,what is the reason i am locked out of my bank account,TRUE
account_blocked,why is my account blocked,TRUE
account_blocked,find out the reason why am i locked out of my bank account,TRUE
account_blocked,i think my account is block but i am not sure why,TRUE
account_blocked,why is there a hold on my charles swab account,TRUE
account_blocked,my chase account has a hold why,TRUE
account_blocked,what's the reason for a hold on my wells fargo account,TRUE
account_blocked,can you find the reason for the block on my account,TRUE
account_blocked,"there's a hold on my chase account, but why",TRUE
account_blocked,tell me the reason there is a hold or block on my account,TRUE
account_blocked,why does my credit union account have a hold on it,TRUE
account_blocked,figure out why there is a block on my account please,TRUE
account_blocked,why am i seeing a hold on my boa account,TRUE
account_blocked,"my account has been blocked, but i have no idea why",TRUE
account_blocked,why is there a block on my account,TRUE
account_blocked,can you please unlock my bank account,FALSE
account_blocked,please let me into my bank account,FALSE
account_blocked,why cannot i take any money out from my bank account,FALSE
account_blocked,what was the reason my bank account was frozen,FALSE
account_blocked,who froze my bank account,FALSE
account_blocked,who can i talk to right away about the current freeze on my account,FALSE
account_blocked,my checking account has a hold on it and i need to know why,FALSE
account_blocked,why is my bank account stopping all transactions from going through,FALSE
account_blocked,i need to know why my bank account is blocking all of activity,FALSE
account_blocked,can you find out what triggered a hold on my bank account,FALSE
account_blocked,can i talk to someone about why there is a hold on my checking account,FALSE
account_blocked,what caused a freeze to be put on my bank account,FALSE
account_blocked,"my account has a hold on it and i can't access my funds, why",FALSE
account_blocked,is there a reason that my bank account has a freeze on it,FALSE
